,시군,평균기온(°C),지진위험도,태풍위험도,기업갯수,거래금액(만원),감소추이
0,가평군,10.92333333,-0.225015052,0.532135231,24,15387.633759061098,-0.5590477060570578
1,경산시,13.855,-0.225015052,0.992162058,192,16654.888505747127,-0.6436610187637157
2,경주시,12.90377778,0.92196007,0.532135231,98,14113.901759530792,0.4009116180557583
3,계룡시,10.21666667,-0.225015052,-0.418695464,19,14780.884422110552,1.3919722845288618
4,고령군,12.82222222,0.218244847,0.992162058,17,17663.963364993215,-0.2040204693907705
5,고성군_경남,13.49,0.133146188,-0.418695464,12,5616.908020603385,1.2718641226109035
6,고양시,12.17238095,-0.225015052,0.072108403,669,44293.14408602151,0.9926352604009948
7,고창군,13.255,-0.225015052,0.532135231,15,2687.0606209955645,1.9905898401013784
8,공주시,12.27851852,0.306330996,0.532135231,76,11929.28074170462,0.3036518688780774
9,과천시,11.10111111,-0.225015052,-0.418695464,59,84954.53846153847,12.702410841478702
10,광명시,13.775,-0.225015052,-0.418695464,219,234587.9661016949,1.7411376321813066
11,광양시,13.34,0.236011451,-0.418695464,78,12902.36949783013,0.3134975757218505
12,광주광역시,13.175,0.322603855,0.532135231,912,40021.17534076828,0.628062888195501
13,광주시,11.68,0.15016592,-0.418695464,99,28319.60776270117,0.0346442105978965
14,괴산군,11.085,-0.225015052,-0.418695464,20,5813.142493638677,-0.9594653700698856
15,구리시,12.91,-0.225015052,-0.418695464,61,211554.7358490566,1.724257274780264
16,구미시,13.09,0.184952256,-0.418695464,194,19356.688457609805,-0.1652221087065211
17,군위군,11.97333333,0.235264579,-0.418695464,13,7219.977099236641,0.3178051857568427
18,군포시,13.57777778,-0.225015052,-0.418695464,217,34900.42857142857,-0.2986103557469981
19,금산군,12.13,0.304837251,-0.418695464,24,6402.803196803196,0.4086699305066421
20,김제시,13.0,0.133146188,-0.418695464,37,6514.810894941635,2.081537615387335
21,김천시,12.17666666,0.293792498,0.532135231,63,8133.639271434918,-0.3623436045047175
22,김포시,12.675,-0.225015052,-0.418695464,170,30637.69545154911,-0.1667262118012331
23,김해시,13.78,-0.225015052,-0.418695464,178,37801.80222658808,-0.019986894470005
24,나주시,13.235,-0.225015052,-0.418695464,221,7486.123076923077,-0.2947135189164633
25,남양주시,12.3,-0.225015052,0.072108403,259,51330.329471890975,-0.4245060338470949
26,논산시,12.73444445,0.13389306,0.072108403,39,6586.439742410304,0.1422854451261415
