분류,기업,이름,주소,시군구코드,법정동코드,번,지,비고,임차여부
공공,(재)APEC기후센터,APEC기후센터 전산실,부산 해운대구 센텀7로 12(우동-1463),26350,10500,1463 ,0 ,,
통신,KT,KT 분당IDC,경기도 성남시 분당구 성남대로925번길 36 (야탑동 343-2),41135,10700,343 ,2 ,,
통신,KT,KT 김해IDC,경남 김해시 분성로3번길 235-2(내동 225-2),48250,10800,235 ,2 ,,
통신,KT,KT 광주 IDC,광주광역시 동구 제봉로82번길 16 (서석동 31-9),29110,11800,31 ,9 ,,
통신,"KT,대구달성군시설관리공단",KT 대구 IDC,대구시 남구 봉덕로 61 (봉덕동 627-15) KT봉덕지사 2층,27200,10200,627 ,15 ,,
통신,KT,KT 대전 IDC,대전광역시 서구 문정로 48번길 30 KT 탄방사옥 3F 대전IDC센터,30170,10600,649 ,0 ,,
통신,KT,KT 부산 IDC,부산광역시 중구 충장대로5번길 72 (중앙동4가 75) kt부산통신센터 1층,48011,00400,75 ,0 ,,
통신,KT,KT 여의도 IDC,서울 영등포구 여의대로 14 KT빌딩 19층 KT 여의도IDC (여의도동 28-2),11560,11000,28 ,2 ,,
통신,KT,KT 용산 IDC,서울 용산구 원효로41길 33 KT국제전화국,11170,11700,1 ,2 ,,
통신,"KT,AWS, 메리츠금융그룹",KT 목동IDC 1,서울시 양천구 목동동로 233-5 (목동 924-4),11470,10200,924 ,4 ,,
통신,KT,KT 목동IDC 2,서울시 양천구 목동동로 323 (목동 918-1),11470,10200,918 ,1 ,,
통신,KT,KT 강남IDC,서울특별시 강남구 언주로 517 (역삼동 675-3),11680,10100,675 ,3 ,,
통신,KT,KT 남구로 IDC,서울특별시 구로구 디지털로 31길 61 KT IDC 남구로,11530,10200,197 ,12 ,,
통신,KT,KT 청주 IDC,충청북도 청주시 서원구 1순환로 1063번길 12 (분평동 1390),43112,10600,1390 ,0 ,,
민간,"LG CNS,AZURE(MS)",부산 글로벌 클라우드 데이터센터,부산광역시 강서구 구랑동 1175-4,26440,11300,1175 ,4 ,,
민간,"LG CNS,KINX",상암IT센터,"서울특별시 마포구 월드컵북로 424, 서울특별시 마포구 상암동 1591",11440,12700,1591 ,0 ,,
민간,LG CNS,인천센터,"인천 계양구 아나지로213번길 23, 인천광역시 계양구 효성동 236-1",28245,10100,236 ,1 ,,
통신,"LG U+,AWS,AZURE(MS),KINX",LG U+평촌 메가센터,경기도 안양시 동안구 시민대로 327번길 29(관양동 1743),41173,10100,1743 ,0 ,,
통신,LG U+,LG U+안양 센터,경기도 안양시 만안구 덕천로48번길 37,41171,10100,200 ,12 ,기타분류,
통신,LG U+,LG U+광주 센터,광주광역시 광산구 무진대로 262,29200,10900,1598 ,2 ,기타분류,
통신,LG U+,LG U+대구 센터,대구광역시 중구 동덕로 186,27110,10100,295 ,1 ,기타분류,
통신,LG U+,LG U+대전 센터,대전광역시 서구 계룡로553번길 66,30170,10600,663 ,0 ,기타분류,
통신,LG U+,LG U+부산 센터 (아미),부산광역시 서구 대청로6번길 14,26140,10900,30 ,1 ,기타분류,
